Identifier,Parent,ChildTree1,ChildTree1_Name,ChildTree2,ChildTree2_Name,Title,Category,SubCategory,Subset,Frequency,Unit,Currency,Discontinued
IFCAOTPGOA11M,,"IFCAOTPGOM11M,IFCAOTPGOD11M,IFCAOTPGOB11M,IFCAOTPGOH11M",,,,Monthly on time performance at Metro Airports - Go Air,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,Y
IFCAOTPGOM11M,IFCAOTPGOA11M,,,,,Monthly on time performance of Go Air at Mumbai airport,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,Y
IFCAOTPGOD11M,IFCAOTPGOA11M,,,,,Monthly on time performance of Go Air at Delhi airport,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,Y
IFCAOTPGOB11M,IFCAOTPGOA11M,,,,,Monthly on time performance of Go Air at Banglore airport,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,Y
IFCAOTPGOH11M,IFCAOTPGOA11M,,,,,Monthly on time performance of Go Air at Hyderabad airport,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,Y
IFCAOTPINA11M,,"IFCAOTPINM11M,IFCAOTPIND11M,IFCAOTPINB11M,IFCAOTPINH11M,IFCAOTPINC11M,IFCAOTPINK11M,IFCAOTPINE11M,IFCAOTPING11M,IFCAOTPINI11M,IFCAOTPINL11M",,,,Monthly on time performance at Metro Airports - Indigo,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,N
IFCAOTPINM11M,IFCAOTPINA11M,,,,,Monthly on time performance of Indigo at Mumbai airport,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,N
IFCAOTPIND11M,IFCAOTPINA11M,,,,,Monthly on time performance of Indigo at Delhi airport,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,N
IFCAOTPINB11M,IFCAOTPINA11M,,,,,Monthly on time performance of Indigo at Banglore airport,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,N
IFCAOTPINH11M,IFCAOTPINA11M,,,,,Monthly on time performance of Indigo at Hyderabad airport,Civil Aviation,Airline Data,Domestic - Scheduled,Monthly,Percentage,NA,N
